GAME;TITLE;AUTHOR;YEAR
RPG Maker 2000 RTP;Treasure;Youta Kitagami;2000
RPG Maker 2000 RTP;GhostTown1;Youta Kitagami;2000
Donkey Kong 64;Mermaid Palace;Grant Kirkhope;1999
Banjo-Kazooie;Gobi's Valley;Grant Kirkhope;1998
Ray Baza (Brown Bag Audio);VirtualGuam.com Jingle;;1998
Andrew C. Ng;Heart of Darkness;;1997
Pasi Sivula (Alzheim);Age of the Legends;;1997
Game Boy Camera;"Animation BGM 31";;1998
Super Castlevania IV;Stage 1 Prologue;;1991
Ultima VIII: Pagan;Water;Nenad Vugrinec;1994
Donkey Kong Country 2;In a Snow-Bound Land;David Wise;1995
Ultimate Custom Night;Eisoptrophobia;Leon Riskin;2018
RPG Maker 2000 RTP;Ending2;Tadayuki Itou;2000
Crysalis;Pyramids (Seth´s Dance);Yoko Osaka;1990
Ecco the Dolphin;Home Bay (After the Storm);Spencer Nilsen;1993
RPG Maker 2000 RTP;Marketplace;Youta Kitagami;2000
Valnars Nightmare;Title;Tscholdes;2014
Valnars Nightmare;Nightmare;Tscholdes;2014
Valnars Nightmare;Game Over;TrunX;2014
Phantasy Star Online;Bittersweet Reminisce (Remix);Hideaki Kobayashi, Remix by Ztrop;2000
kamkam (Shigeru Ikuta);Edge Fire;;1999
Andrew C. Ng;Inner Fury;;1997
???;Ist das etwa Alex?;;
