GAME;TITLE;AUTHOR;YEAR
Raptor: Call of The Shadows;Death;Matt Murphy;1994
Legend of Legaia;End Title;Michiru Oshima;1998
Richard Marx;Right Here Waiting;Richard Marx;1989
Ultima VIII: Pagan;Earth;Nenad Vugrinec;1994
Michael Walthius;Ride into Sherwood;Michael Walthius;1997
Ultima Underworld;Wanderer;David Govett & George Alistair Sanger;1992
RPG Maker 2000 RTP;Town1;Youta Kitagami;2000
Falco;Jeanny;Rob & Ferdi Bolland;1985
RPG Maker 95 RTP;Town5;Youta Kitagami;1997
Daggerfall;Daggerfall;Eric Heberling;1996
RPG Maker 2000 RTP;Village1;Youta Kitagami;2000
Ultima VIII: Pagan;Catacombs;Nenad Vugrinec;1994
Daggerfall;Eerie;Eric Heberling;1996
Ecco 2: The Tides of Time;Inside Theme (Atlantis Ruins);Gabor Foltan, Csaba Gigor, Laszlo Fazekas;1994
Final Fantasy Tactics;Credits;Hitoshi Sakimoto;1997
System Shock;Closing;Greg LoPiccolo;1994
Carl Orff;O Fortuna;Carl Orff;1935
Ys 1;Palace (Temple Theme);Sound Team JDK;1989
Golden Axe;Wilderness;You Takada;1989
Ultima Underworld 2;Ice Caverns;Dan Schmidt & Jon Blackley;1993
RPG Maker 95 RTP;M004.mid;Youta Kitagami;1997
Doctor Aibolit;Don't go to Africa, children, for a walk;Georgy Firtich;1985
Fred Nachbaur;Caverns of the Heart;Fred Nachbaur;2000
Unbekannt;"RUINS";;
Mega Man X3;Blizzard Buffalo;Kinuyo Yamashita;1995
The 11th Hour;Ghost of Bo;George "The Fat Man" Sanger & Team Fat;1995
Ultima Online;Conversation with Gwenno;David Watson;1997
Terranigma;Grecliff;;1995
Ultima VIII: Pagan;Hydros;Nenad Vugrinec;1994
Resident Evil 2;Save Room;Masami Ueda;1998
Super Metroid;Brinstar (Underground Depths);Kenji Yamamoto;1994
Final Fantasy VII;Listen to the Cries of the Planet ;Nobuo Uematsu;1997
Ultima Online;Stones;David Watson;1997
Yuu Hozumi;Dark Ritual;;2000
Ultima VII Part 2: Serpent Isle ;Balance is Restored;Marc Schaefgen & Nenad Vugrinec;1993
Wild Arms 2;Battle: vs. Lord Blazer;Michiko Naruke;1999
Kudo Shizuka;Blue Velvet;Hatake;1997
Raptor: Call of The Shadows;Track 1;Matt Murphy;1994
Clock Tower;Death in the Elevator;Kouji Niikura;1995
Star Ocean: The Second Story;The Venerable Forest;Motoi Sakuraba;1998
Phantasy Star IV;Laughter;Izuho Takeuchi & Masaki Nakagaki;1993
Breath of Fire II;Cold and Dark;Yuko Takehara;1994
Skies of Arcadia;Last Dungeon;Yutaka Minobe & Tatsuyuki Maeda;2000
Super Castlevania IV;The Castle's Gate;Konami Kukeiha Club;1991
Legend Of Mana;Hometown Domina;Yoko Shimomura;1999
Assembling the Void;Forest of Drifting Colors;Niklas Mihr;2013
Assembling the Void;To Be on Stake;Niklas Mihr;2013
RPG Maker 2000 RTP;Fairy2;Tadayuki Itou;2000
Game Boy Camera;"Animation";;1998
Ultima VII Part 2: Serpent Isle;Great Earth Serpent's Theme;Dana Karl Glover;1994
